	Emu_protein	Hmi_protein	Mco_protein
OG0001146	EmuJ_001056200.1, EmuJ_001056300.1	HmN_000662700.1	MCOS_0000802301-mRNA-1
OG0001147	EmuJ_001057100.1	HmN_000979300.1, HmN_000979400.1	MCOS_0000641001-mRNA-1
OG0001148	EmuJ_001057500.1	HmN_000927100.1, HmN_000927800.1	MCOS_0000640701-mRNA-1
OG0001149	EmuJ_001058100.1	HmN_000922200.1, HmN_002050900.1	MCOS_0000015001-mRNA-1
OG0001150	EmuJ_001058400.1	HmN_000921600.1, HmN_000922700.1	MCOS_0000014801-mRNA-1
OG0001151	EmuJ_001058700.1	HmN_000921500.1, HmN_000922800.1	MCOS_0000014601-mRNA-1
OG0001152	EmuJ_001058800.1	HmN_000923100.1, HmN_002062300.1	MCOS_0000014401-mRNA-1
OG0001153	EmuJ_001059000.1	HmN_000378400.1, HmN_000378500.1	MCOS_0000014201-mRNA-1
OG0001154	EmuJ_001059800.1	HmN_000379300.1	MCOS_0000013501-mRNA-1, MCOS_0000232501-mRNA-1
OG0001155	EmuJ_001062600.1	HmN_000420600.1	MCOS_0000169801-mRNA-1, MCOS_0000420701-mRNA-1
OG0001156	EmuJ_001064400.1, EmuJ_001064500.1	HmN_000422100.1	MCOS_0000597901-mRNA-1
OG0001157	EmuJ_001067700.1	HmN_000828600.1, HmN_002121600.1	MCOS_0000587101-mRNA-1
OG0001158	EmuJ_001068200.1, EmuJ_001068500.1	HmN_002073200.1	MCOS_0000587601-mRNA-1
OG0001159	EmuJ_001071200.1	HmN_000461600.1	MCOS_0000420801-mRNA-1, MCOS_0000748301-mRNA-1
OG0001160	EmuJ_001071600.1	HmN_000552400.1, HmN_002251800.1	MCOS_0000715501-mRNA-1
OG0001161	EmuJ_001071800.1	HmN_000145300.1, HmN_000688500.1	MCOS_0000715301-mRNA-1
OG0001162	EmuJ_001072300.1, EmuJ_001072700.1	HmN_000688200.1	MCOS_0000462801-mRNA-1
OG0001163	EmuJ_001074900.1, EmuJ_001075000.1	HmN_000687000.1	MCOS_0000167201-mRNA-1
OG0001164	EmuJ_001076900.1	HmN_000630800.1	MCOS_0000276401-mRNA-1, MCOS_0000995301-mRNA-1
OG0001165	EmuJ_001086500.1, EmuJ_001086700.1	HmN_000020300.1	MCOS_0000340301-mRNA-1
OG0001166	EmuJ_001086600.1	HmN_000020100.1, HmN_002085400.1	MCOS_0000344601-mRNA-1
OG0001167	EmuJ_001092500.1	HmN_002187100.1, HmN_002187400.1	MCOS_0000379901-mRNA-1
OG0001168	EmuJ_001093200.1	HmN_000788200.1, HmN_002187000.1	MCOS_0000215701-mRNA-1
OG0001169	EmuJ_001094800.1, EmuJ_001095000.1	HmN_000789500.1	MCOS_0000899301-mRNA-1
OG0001170	EmuJ_001098800.1, EmuJ_001099000.1	HmN_000300000.1	MCOS_0000063701-mRNA-1
OG0001171	EmuJ_001099350.1	HmN_000535600.1, HmN_001002000.1	MCOS_0000064101-mRNA-1
OG0001172	EmuJ_001099600.1	HmN_000535900.1, HmN_002087800.1	MCOS_0000289201-mRNA-1
OG0001173	EmuJ_001102000.1, EmuJ_001102600.1	HmN_000538100.1	MCOS_0000151501-mRNA-1
OG0001174	EmuJ_001106100.1, EmuJ_001106200.1	HmN_000524300.1	MCOS_0000584601-mRNA-1
OG0001175	EmuJ_001106800.1	HmN_000523700.1, HmN_000523800.1	MCOS_0000585201-mRNA-1
OG0001176	EmuJ_001107500.1, EmuJ_001108000.1	HmN_000523000.1	MCOS_0000131301-mRNA-1
OG0001177	EmuJ_001118700.1	HmN_000290400.1, HmN_002224800.1	MCOS_0000983601-mRNA-1
OG0001178	EmuJ_001120000.1	HmN_000681600.1	MCOS_0000064701-mRNA-1, MCOS_0000064801-mRNA-1
OG0001179	EmuJ_001123800.1	HmN_000286600.1	MCOS_0000376301-mRNA-1, MCOS_0000427601-mRNA-1
OG0001180	EmuJ_001124800.1	HmN_000284700.1, HmN_002243000.1	MCOS_0000853801-mRNA-1
OG0001181	EmuJ_001127600.1	HmN_000000800.1	MCOS_0000647001-mRNA-1, MCOS_0000648501-mRNA-1
OG0001182	EmuJ_001129200.1	HmN_002223600.1, HmN_002223700.1	MCOS_0000663801-mRNA-1
OG0001183	EmuJ_001129900.1	HmN_000964100.1, HmN_002073700.1	MCOS_0000978701-mRNA-1
OG0001184	EmuJ_001130000.1	HmN_000963700.1, HmN_000964200.1	MCOS_0000978601-mRNA-1
OG0001185	EmuJ_001130100.1	HmN_000963600.1, HmN_000964300.1	MCOS_0000978501-mRNA-1
OG0001186	EmuJ_001131300.1, EmuJ_001131400.1	HmN_000833200.1, HmN_002047700.1	
OG0001187	EmuJ_001133100.1, EmuJ_001133200.1	HmN_000530000.1	MCOS_0000994701-mRNA-1
OG0001188	EmuJ_001139500.1	HmN_000770600.1	MCOS_0000385401-mRNA-1, MCOS_0001015501-mRNA-1
OG0001189	EmuJ_001145800.1	HmN_000703800.1, HmN_000863400.1	MCOS_0000307701-mRNA-1
OG0001190	EmuJ_001149900.1	HmN_000825400.1	MCOS_0000438601-mRNA-1, MCOS_0000478001-mRNA-1
OG0001191	EmuJ_001151000.1, EmuJ_002168200.1	HmN_000641100.1	MCOS_0000819201-mRNA-1
OG0001192	EmuJ_001152650.1	HmN_000639900.1	MCOS_0000278901-mRNA-1, MCOS_0000390901-mRNA-1
OG0001193	EmuJ_001157000.1	HmN_000451200.1	MCOS_0000347701-mRNA-1, MCOS_0000436201-mRNA-1
OG0001194	EmuJ_001158200.1	HmN_002229500.1, HmN_002229700.1	MCOS_0000538201-mRNA-1
OG0001195	EmuJ_001159500.1	HmN_000137400.1, HmN_000137500.1	MCOS_0000536901-mRNA-1
OG0001196	EmuJ_001159600.1, EmuJ_001159700.1	HmN_002056700.1	MCOS_0000233501-mRNA-1
OG0001197	EmuJ_001170100.1, EmuJ_001170200.1	HmN_000155300.1	MCOS_0000161701-mRNA-1
OG0001198	EmuJ_001170400.1	HmN_000155500.1, HmN_000994500.1	MCOS_0000274901-mRNA-1
OG0001199	EmuJ_001182200.1	HmN_000061000.1	MCOS_0000279001-mRNA-1, MCOS_0000391901-mRNA-1
OG0001200	EmuJ_001189400.1	HmN_000197700.1, HmN_002126600.1	MCOS_0000940801-mRNA-1
OG0001201	EmuJ_001189500.1, EmuJ_001190300.1	HmN_000198900.1	MCOS_0000760701-mRNA-1
OG0001202	EmuJ_001193100.1, EmuJ_001193200.1	HmN_000069300.1	MCOS_0000018201-mRNA-1
OG0001203	EmuJ_001193300.1	HmN_000069400.1, HmN_002101100.1	MCOS_0000018301-mRNA-1
OG0001204	EmuJ_001194600.1	HmN_000069000.1, HmN_000069100.1	MCOS_0000043401-mRNA-1
OG0001205	EmuJ_001195100.1	HmN_000068700.1, HmN_002101000.1	MCOS_0000228701-mRNA-1
OG0001206	EmuJ_001195700.1	HmN_000193900.1, HmN_002090800.1	MCOS_0000905701-mRNA-1
OG0001207	EmuJ_001198800.1, EmuJ_001198850.1	HmN_000196200.1	MCOS_0000275401-mRNA-1
OG0001208	EmuJ_001200000.1	HmN_000197100.1, HmN_002102200.1	MCOS_0000800401-mRNA-1
OG0001209		HmN_000447400.1, HmN_000789700.1, HmN_000789800.1, HmN_000873500.1	
OG0001210		HmN_000460800.1, HmN_000988700.1, HmN_002136800.1	MCOS_0000619601-mRNA-1
OG0001211		HmN_000864300.1, HmN_002065000.1, HmN_002138100.1	MCOS_0000371501-mRNA-1
OG0001212			MCOS_0000393601-mRNA-1, MCOS_0000487401-mRNA-1, MCOS_0000505701-mRNA-1, MCOS_0001060501-mRNA-1
OG0001213	EmuJ_000007700.1	HmN_000545300.1	MCOS_0000811301-mRNA-1
OG0001214	EmuJ_000007800.1	HmN_000133200.1	MCOS_0000951701-mRNA-1
OG0001215	EmuJ_000009000.1	HmN_000962500.1	MCOS_0000013301-mRNA-1
OG0001216	EmuJ_000009100.1	HmN_000066900.1	MCOS_0000925901-mRNA-1
OG0001217	EmuJ_000009200.1, EmuJ_000045700.1		MCOS_0000166501-mRNA-1
OG0001218	EmuJ_000010200.1	HmN_000039400.1	MCOS_0000119001-mRNA-1
OG0001219	EmuJ_000010400.1	HmN_000026500.1	MCOS_0000870101-mRNA-1
OG0001220	EmuJ_000022600.1	HmN_000253800.1	MCOS_0000959701-mRNA-1
OG0001221	EmuJ_000024100.1	HmN_002197300.1	MCOS_0000312701-mRNA-1
OG0001222	EmuJ_000025200.1	HmN_001029100.1	MCOS_0000188801-mRNA-1
OG0001223	EmuJ_000025600.1	HmN_000331800.1	MCOS_0000596501-mRNA-1
OG0001224	EmuJ_000040000.1	HmN_000573200.1	MCOS_0000560301-mRNA-1
OG0001225	EmuJ_000040100.1	HmN_000573100.1	MCOS_0000560401-mRNA-1
OG0001226	EmuJ_000040200.1	HmN_000572900.1	MCOS_0000560501-mRNA-1
OG0001227	EmuJ_000040400.1	HmN_000574300.1	MCOS_0000561801-mRNA-1
OG0001228	EmuJ_000040600.1	HmN_000574250.1	MCOS_0000561701-mRNA-1
OG0001229	EmuJ_000040700.1	HmN_000574200.1	MCOS_0000561601-mRNA-1
OG0001230	EmuJ_000040800.1	HmN_000574100.1	MCOS_0000561401-mRNA-1
OG0001231	EmuJ_000041200.1	HmN_002133100.1	MCOS_0000561301-mRNA-1
OG0001232	EmuJ_000041300.1	HmN_000573700.1	MCOS_0000561201-mRNA-1
OG0001233	EmuJ_000041400.1	HmN_000573600.1	MCOS_0000561001-mRNA-1
OG0001234	EmuJ_000041450.1	HmN_000573650.1	MCOS_0000561101-mRNA-1
OG0001235	EmuJ_000041500.1	HmN_000573500.1	MCOS_0000560901-mRNA-1
OG0001236	EmuJ_000041600.1	HmN_000573400.1	MCOS_0000560801-mRNA-1
OG0001237	EmuJ_000041800.1	HmN_000572800.1	MCOS_0000560701-mRNA-1
OG0001238	EmuJ_000042300.1	HmN_000574700.1	MCOS_0000562001-mRNA-1
OG0001239	EmuJ_000042800.1	HmN_000574900.1	MCOS_0000352001-mRNA-1
OG0001240	EmuJ_000042900.1	HmN_000575100.1	MCOS_0000138901-mRNA-1
OG0001241	EmuJ_000043000.1	HmN_000575200.1	MCOS_0000138801-mRNA-1
OG0001242	EmuJ_000043100.1	HmN_000575300.1	MCOS_0000138701-mRNA-1
OG0001243	EmuJ_000043200.1	HmN_000295500.1	MCOS_0000250301-mRNA-1
OG0001244	EmuJ_000043400.1	HmN_000295600.1	MCOS_0000225401-mRNA-1
OG0001245	EmuJ_000043500.1	HmN_000295900.1	MCOS_0000225501-mRNA-1
OG0001246	EmuJ_000043600.1	HmN_000296300.1	MCOS_0000943801-mRNA-1
OG0001247	EmuJ_000044100.1	HmN_002023200.1	MCOS_0000867001-mRNA-1
OG0001248	EmuJ_000044600.1	HmN_000295400.1	MCOS_0000866701-mRNA-1
OG0001249	EmuJ_000044800.1	HmN_002200500.1	MCOS_0000792701-mRNA-1
OG0001250	EmuJ_000044900.1	HmN_000295300.1	MCOS_0000792801-mRNA-1
OG0001251	EmuJ_000045000.1	HmN_002200300.1	MCOS_0000792901-mRNA-1
OG0001252	EmuJ_000045100.1	HmN_000295000.1	MCOS_0000793001-mRNA-1
OG0001253	EmuJ_000045200.1	HmN_002201100.1	MCOS_0000793101-mRNA-1
OG0001254	EmuJ_000045300.1	HmN_000294900.1	MCOS_0000327801-mRNA-1
OG0001255	EmuJ_000045400.1	HmN_000294800.1	MCOS_0000166801-mRNA-1
OG0001256	EmuJ_000045500.1	HmN_000294600.1	MCOS_0000166601-mRNA-1
OG0001257	EmuJ_000046200.1	HmN_000332200.1	MCOS_0000160201-mRNA-1
OG0001258	EmuJ_000046400.1	HmN_002201500.1	MCOS_0000160401-mRNA-1
OG0001259	EmuJ_000046500.1, EmuJ_000278600.1		MCOS_0000160501-mRNA-1
OG0001260	EmuJ_000046600.1	HmN_000332400.1	MCOS_0000160601-mRNA-1
OG0001261	EmuJ_000053400.1	HmN_000272800.1	MCOS_0000226401-mRNA-1
OG0001262	EmuJ_000053800.1	HmN_000732000.1	MCOS_0000566901-mRNA-1
OG0001263	EmuJ_000053900.1	HmN_000731900.1	MCOS_0000567001-mRNA-1
OG0001264	EmuJ_000054300.1	HmN_000091300.1	MCOS_0000567301-mRNA-1
OG0001265	EmuJ_000054400.1	HmN_002168500.1	MCOS_0000567401-mRNA-1
OG0001266	EmuJ_000054500.1	HmN_000902800.1	MCOS_0000567501-mRNA-1
OG0001267	EmuJ_000055100.1	HmN_000903300.1	MCOS_0000568001-mRNA-1
OG0001268	EmuJ_000056100.1	HmN_000886500.1	MCOS_0000107701-mRNA-1
OG0001269	EmuJ_000056500.1	HmN_000382500.1	MCOS_0000219501-mRNA-1
OG0001270	EmuJ_000056650.1	HmN_000382400.1	MCOS_0000586101-mRNA-1
OG0001271	EmuJ_000056800.1	HmN_000098300.1	MCOS_0000876201-mRNA-1
OG0001272	EmuJ_000056900.1	HmN_000098400.1	MCOS_0000876101-mRNA-1
OG0001273	EmuJ_000057100.1	HmN_000098500.1	MCOS_0000998801-mRNA-1
OG0001274	EmuJ_000057200.1	HmN_000098600.1	MCOS_0000998701-mRNA-1
OG0001275	EmuJ_000057300.1	HmN_000098700.1	MCOS_0000970801-mRNA-1
OG0001276	EmuJ_000057400.1	HmN_000114500.1	MCOS_0000971001-mRNA-1
OG0001277	EmuJ_000057700.1	HmN_000712500.1	MCOS_0000993801-mRNA-1
OG0001278	EmuJ_000057900.1	HmN_000712300.1	MCOS_0000688201-mRNA-1
OG0001279	EmuJ_000058000.1	HmN_000712200.1	MCOS_0000688101-mRNA-1
OG0001280	EmuJ_000058100.1	HmN_000712000.1	MCOS_0000687401-mRNA-1
OG0001281	EmuJ_000058300.1	HmN_000615500.1	MCOS_0000687601-mRNA-1
OG0001282	EmuJ_000058500.1	HmN_000615200.1	MCOS_0000687701-mRNA-1
OG0001283	EmuJ_000058700.1	HmN_000615000.1	MCOS_0000926701-mRNA-1
OG0001284	EmuJ_000058800.1	HmN_000614900.1	MCOS_0000926801-mRNA-1
OG0001285	EmuJ_000058900.1	HmN_000751700.1	MCOS_0000926901-mRNA-1
OG0001286	EmuJ_000059100.1	HmN_000751600.1	MCOS_0000927001-mRNA-1
OG0001287	EmuJ_000059200.1	HmN_000751400.1	MCOS_0000688301-mRNA-1
OG0001288	EmuJ_000059300.1	HmN_000751200.1	MCOS_0000955901-mRNA-1
OG0001289	EmuJ_000059400.1	HmN_000751100.1	MCOS_0000956001-mRNA-1
OG0001290	EmuJ_000059500.1	HmN_000751000.1	MCOS_0000956101-mRNA-1
OG0001291	EmuJ_000059600.1	HmN_000415600.1	MCOS_0000956201-mRNA-1
OG0001292	EmuJ_000059800.1	HmN_000415700.1	MCOS_0000993901-mRNA-1
OG0001293	EmuJ_000060000.1	HmN_000415800.1	MCOS_0000803201-mRNA-1
OG0001294	EmuJ_000060100.1	HmN_000415900.1	MCOS_0000803301-mRNA-1
OG0001295	EmuJ_000060300.1	HmN_002011400.1	MCOS_0000803401-mRNA-1
OG0001296	EmuJ_000060400.1	HmN_002011300.1	MCOS_0000803501-mRNA-1
OG0001297	EmuJ_000060500.1	HmN_002011200.1	MCOS_0000332201-mRNA-1
OG0001298	EmuJ_000060600.1	HmN_002011000.1	MCOS_0000332101-mRNA-1
OG0001299	EmuJ_000060700.1	HmN_002010800.1	MCOS_0000439601-mRNA-1
OG0001300	EmuJ_000060800.1	HmN_002010700.1	MCOS_0000763801-mRNA-1
OG0001301	EmuJ_000060900.1	HmN_002010600.1	MCOS_0000763901-mRNA-1
OG0001302	EmuJ_000061000.1	HmN_002010500.1	MCOS_0000764001-mRNA-1
OG0001303	EmuJ_000061100.1	HmN_002010300.1	MCOS_0000764101-mRNA-1
OG0001304	EmuJ_000061400.1	HmN_002010000.1	MCOS_0000764301-mRNA-1
OG0001305	EmuJ_000061600.1	HmN_000412600.1	MCOS_0000764401-mRNA-1
OG0001306	EmuJ_000061700.1	HmN_000412500.1	MCOS_0000764601-mRNA-1
OG0001307	EmuJ_000062000.1	HmN_000417800.1	MCOS_0000876901-mRNA-1
OG0001308	EmuJ_000062100.1	HmN_000417700.1	MCOS_0000876801-mRNA-1
OG0001309	EmuJ_000062300.1	HmN_000417500.1	MCOS_0000876601-mRNA-1
OG0001310	EmuJ_000062400.1	HmN_000417300.1	MCOS_0000876501-mRNA-1
OG0001311	EmuJ_000062700.1	HmN_000712700.1	MCOS_0000802901-mRNA-1
OG0001312	EmuJ_000062800.1	HmN_000930200.1	MCOS_0000803001-mRNA-1
OG0001313	EmuJ_000063100.1	HmN_000100300.1	MCOS_0000211201-mRNA-1
OG0001314	EmuJ_000063400.1	HmN_000100100.1	MCOS_0000211101-mRNA-1
OG0001315	EmuJ_000063500.1	HmN_000100000.1	MCOS_0000211001-mRNA-1
OG0001316	EmuJ_000063610.1	HmN_000099900.1	MCOS_0000210801-mRNA-1
OG0001317	EmuJ_000063700.1	HmN_002167300.1	MCOS_0000817001-mRNA-1
OG0001318	EmuJ_000064300.1	HmN_000099600.1	MCOS_0000816501-mRNA-1
OG0001319	EmuJ_000064400.1	HmN_000099500.1	MCOS_0000754601-mRNA-1
OG0001320	EmuJ_000064500.1	HmN_000099400.1	MCOS_0000754501-mRNA-1
OG0001321	EmuJ_000064700.1	HmN_000099300.1	MCOS_0000224701-mRNA-1
OG0001322	EmuJ_000065400.1	HmN_000098900.1	MCOS_0000171201-mRNA-1
OG0001323	EmuJ_000065450.1	HmN_000098800.1	MCOS_0000171301-mRNA-1
OG0001324	EmuJ_000065800.1	HmN_000793800.1	MCOS_0000784901-mRNA-1
OG0001325	EmuJ_000066200.1	HmN_000793300.1	MCOS_0000806001-mRNA-1
OG0001326	EmuJ_000066300.1	HmN_000733000.1	MCOS_0000805901-mRNA-1
OG0001327	EmuJ_000066600.1	HmN_000732800.1	MCOS_0000805801-mRNA-1
OG0001328	EmuJ_000067000.1	HmN_000273100.1	MCOS_0000093701-mRNA-1
OG0001329	EmuJ_000067100.1	HmN_000272900.1	MCOS_0000093601-mRNA-1
OG0001330	EmuJ_000067200.1	HmN_000634800.1	MCOS_0000093501-mRNA-1
OG0001331	EmuJ_000067500.1	HmN_000634100.1	MCOS_0000736601-mRNA-1
OG0001332	EmuJ_000067600.1	HmN_000273400.1	MCOS_0000736701-mRNA-1
OG0001333	EmuJ_000067900.1	HmN_000273200.1	MCOS_0000930001-mRNA-1
OG0001334	EmuJ_000068000.1	HmN_000273900.1	MCOS_0000137601-mRNA-1
OG0001335	EmuJ_000068100.1	HmN_000273800.1	MCOS_0000137501-mRNA-1
OG0001336	EmuJ_000068300.1	HmN_000273700.1	MCOS_0000137401-mRNA-1
OG0001337	EmuJ_000068700.1	HmN_000273500.1	MCOS_0000842001-mRNA-1
OG0001338	EmuJ_000068800.1	HmN_000633500.1	MCOS_0000842101-mRNA-1
OG0001339	EmuJ_000068900.1	HmN_000633600.1	MCOS_0000842201-mRNA-1
OG0001340	EmuJ_000069100.1	HmN_000832700.1	MCOS_0000842301-mRNA-1
OG0001341	EmuJ_000069200.1	HmN_000832800.1	MCOS_0000842401-mRNA-1
OG0001342	EmuJ_000069290.1	HmN_002164300.1	MCOS_0000842501-mRNA-1
OG0001343	EmuJ_000069410.1	HmN_002164400.1	MCOS_0000842601-mRNA-1
OG0001344	EmuJ_000069420.1	HmN_002164500.1	MCOS_0000842701-mRNA-1
OG0001345	EmuJ_000069500.1	HmN_000994100.1	MCOS_0000842801-mRNA-1
OG0001346	EmuJ_000069600.1	HmN_002282800.1	MCOS_0000076801-mRNA-1
OG0001347	EmuJ_000070300.1	HmN_000277000.1	MCOS_0000737101-mRNA-1
OG0001348	EmuJ_000070400.1	HmN_000276900.1	MCOS_0000737001-mRNA-1
OG0001349	EmuJ_000070500.1	HmN_000276700.1	MCOS_0000736801-mRNA-1
OG0001350	EmuJ_000070700.1	HmN_000276500.1	MCOS_0000146501-mRNA-1
OG0001351	EmuJ_000070900.1	HmN_000276100.1	MCOS_0000855401-mRNA-1
OG0001352	EmuJ_000071100.1	HmN_000275700.1	MCOS_0000855301-mRNA-1
OG0001353	EmuJ_000071300.1	HmN_000275600.1	MCOS_0000855201-mRNA-1
OG0001354	EmuJ_000071800.1	HmN_000275400.1	MCOS_0000862701-mRNA-1
OG0001355	EmuJ_000073700.1	HmN_000274200.1	MCOS_0000862901-mRNA-1
OG0001356	EmuJ_000074000.1	HmN_000274100.1	MCOS_0000945001-mRNA-1
OG0001357	EmuJ_000074100.1	HmN_000274000.1	MCOS_0000945101-mRNA-1
OG0001358	EmuJ_000074200.1	HmN_000225200.1	MCOS_0000945201-mRNA-1
OG0001359	EmuJ_000074300.1	HmN_000225100.1	MCOS_0000446101-mRNA-1
OG0001360	EmuJ_000074400.1	HmN_000225000.1	MCOS_0000446201-mRNA-1
OG0001361	EmuJ_000074500.1	HmN_000224900.1	MCOS_0000386301-mRNA-1
OG0001362	EmuJ_000075000.1	HmN_000224600.1	MCOS_0000575201-mRNA-1
OG0001363	EmuJ_000075200.1	HmN_000224500.1	MCOS_0000575401-mRNA-1
OG0001364	EmuJ_000075300.1	HmN_000224300.1	MCOS_0000575301-mRNA-1
OG0001365	EmuJ_000075400.1	HmN_000224100.1	MCOS_0000575601-mRNA-1
OG0001366	EmuJ_000075600.1	HmN_000224000.1	MCOS_0000575701-mRNA-1
OG0001367	EmuJ_000075700.1	HmN_000223900.1	MCOS_0000575801-mRNA-1
OG0001368	EmuJ_000075800.1	HmN_000223700.1	MCOS_0000575901-mRNA-1
OG0001369	EmuJ_000075900.1	HmN_000223600.1	MCOS_0000576001-mRNA-1
OG0001370	EmuJ_000076400.1	HmN_000223500.1	MCOS_0000576101-mRNA-1
OG0001371	EmuJ_000076500.1	HmN_000223400.1	MCOS_0000576201-mRNA-1
OG0001372	EmuJ_000076600.1	HmN_000223200.1	MCOS_0000576301-mRNA-1
OG0001373	EmuJ_000076700.1	HmN_000223100.1	MCOS_0000224601-mRNA-1
OG0001374	EmuJ_000076800.1	HmN_000225300.1	MCOS_0000224801-mRNA-1
OG0001375	EmuJ_000076900.1	HmN_000225400.1	MCOS_0000093801-mRNA-1
OG0001376	EmuJ_000077000.1	HmN_000225500.1	MCOS_0000093901-mRNA-1
OG0001377	EmuJ_000077100.1	HmN_000225600.1	MCOS_0000094001-mRNA-1
OG0001378	EmuJ_000077700.1	HmN_002041400.1	MCOS_0000904401-mRNA-1
OG0001379	EmuJ_000078000.1	HmN_000452200.1	MCOS_0000475501-mRNA-1
OG0001380	EmuJ_000078200.1	HmN_000452300.1	MCOS_0000636901-mRNA-1
OG0001381	EmuJ_000078600.1	HmN_000452400.1	MCOS_0000636801-mRNA-1
OG0001382	EmuJ_000078900.1	HmN_000452600.1	MCOS_0000636601-mRNA-1
OG0001383	EmuJ_000079200.1	HmN_000452850.1	MCOS_0000636301-mRNA-1
OG0001384	EmuJ_000079300.1	HmN_000452900.1	MCOS_0000636201-mRNA-1
OG0001385	EmuJ_000079900.1	HmN_002165400.1	MCOS_0000664601-mRNA-1
OG0001386	EmuJ_000080000.1	HmN_002165300.1	MCOS_0000664701-mRNA-1
OG0001387	EmuJ_000080200.1	HmN_002165200.1	MCOS_0000664901-mRNA-1
OG0001388	EmuJ_000080300.1	HmN_002017600.1	MCOS_0000665201-mRNA-1
OG0001389	EmuJ_000080400.1	HmN_000851400.1	MCOS_0000665301-mRNA-1
OG0001390	EmuJ_000080500.1	HmN_000851100.1	MCOS_0000477801-mRNA-1
OG0001391	EmuJ_000080600.1	HmN_000851000.1	MCOS_0000651301-mRNA-1
OG0001392	EmuJ_000080700.1	HmN_000850900.1	MCOS_0000651501-mRNA-1
OG0001393	EmuJ_000082700.1	HmN_000202800.1	MCOS_0000914201-mRNA-1
OG0001394	EmuJ_000083000.1	HmN_000202700.1	MCOS_0000861601-mRNA-1
OG0001395	EmuJ_000083200.1	HmN_000202600.1	MCOS_0000861501-mRNA-1
OG0001396	EmuJ_000083600.1	HmN_000202500.1	MCOS_0000996101-mRNA-1
OG0001397	EmuJ_000083800.1	HmN_000202200.1	MCOS_0000257501-mRNA-1
OG0001398	EmuJ_000083900.1	HmN_000202100.1	MCOS_0000257401-mRNA-1
OG0001399	EmuJ_000084000.1	HmN_000202000.1	MCOS_0000257301-mRNA-1
OG0001400	EmuJ_000084100.1	HmN_000606500.1	MCOS_0000257201-mRNA-1
OG0001401	EmuJ_000084200.1	HmN_002203400.1	MCOS_0000257101-mRNA-1
OG0001402	EmuJ_000084300.1	HmN_000606200.1	MCOS_0000938001-mRNA-1
OG0001403	EmuJ_000084400.1	HmN_002052300.1	MCOS_0000938101-mRNA-1
OG0001404	EmuJ_000084450.1	HmN_002052200.1	MCOS_0000937801-mRNA-1
OG0001405	EmuJ_000084500.1	HmN_002052100.1	MCOS_0000937701-mRNA-1
OG0001406	EmuJ_000084800.1	HmN_002032800.1	MCOS_0000287901-mRNA-1
OG0001407	EmuJ_000085000.1	HmN_002033000.1	MCOS_0000751001-mRNA-1
OG0001408	EmuJ_000085100.1	HmN_000594700.1	MCOS_0000751101-mRNA-1
OG0001409	EmuJ_000085200.1	HmN_000252400.1	MCOS_0000751301-mRNA-1
OG0001410	EmuJ_000085400.1	HmN_000595000.1	MCOS_0000751501-mRNA-1
OG0001411	EmuJ_000085500.1	HmN_000595100.1	MCOS_0000751601-mRNA-1
OG0001412	EmuJ_000085700.1	HmN_000595200.1	MCOS_0000831301-mRNA-1
OG0001413	EmuJ_000085800.1	HmN_002022600.1	MCOS_0000183901-mRNA-1
OG0001414	EmuJ_000085900.1	HmN_002022900.1	MCOS_0000184001-mRNA-1
OG0001415	EmuJ_000086100.1	HmN_002023100.1	MCOS_0000184201-mRNA-1
OG0001416	EmuJ_000086200.1	HmN_002022700.1	MCOS_0000184301-mRNA-1
OG0001417	EmuJ_000086400.1	HmN_000594500.1	MCOS_0000750901-mRNA-1
OG0001418	EmuJ_000086500.1	HmN_000594400.1	MCOS_0000750801-mRNA-1
OG0001419	EmuJ_000086550.1	HmN_000594300.1	MCOS_0000922201-mRNA-1
OG0001420	EmuJ_000086600.1	HmN_000594200.1	MCOS_0000922301-mRNA-1
OG0001421	EmuJ_000086700.1	HmN_000594100.1	MCOS_0000922401-mRNA-1
OG0001422	EmuJ_000086900.1	HmN_000594000.1	MCOS_0000922601-mRNA-1
OG0001423	EmuJ_000087000.1	HmN_000593900.1	MCOS_0000451301-mRNA-1
OG0001424	EmuJ_000087700.1	HmN_000593500.1	MCOS_0000227601-mRNA-1
OG0001425	EmuJ_000087800.1	HmN_000593300.1, HmN_000593400.1	
OG0001426	EmuJ_000088100.1	HmN_000255500.1	MCOS_0000227401-mRNA-1
OG0001427	EmuJ_000088200.1	HmN_000255400.1	MCOS_0000227301-mRNA-1
OG0001428	EmuJ_000088300.1	HmN_000255300.1	MCOS_0000356101-mRNA-1
OG0001429	EmuJ_000088500.1	HmN_000255200.1	MCOS_0000363801-mRNA-1
OG0001430	EmuJ_000088700.1	HmN_000255000.1	MCOS_0000267001-mRNA-1
OG0001431	EmuJ_000089300.1	HmN_000254600.1	MCOS_0000873601-mRNA-1
OG0001432	EmuJ_000089400.1	HmN_002207300.1	MCOS_0000873501-mRNA-1
OG0001433	EmuJ_000090000.1	HmN_002207100.1	MCOS_0000959601-mRNA-1
OG0001434	EmuJ_000090100.1	HmN_000253900.1	MCOS_0000959501-mRNA-1
OG0001435	EmuJ_000090300.1	HmN_000253600.1	MCOS_0001017101-mRNA-1
OG0001436	EmuJ_000090400.1	HmN_000253500.1	MCOS_0000387801-mRNA-1
OG0001437	EmuJ_000090600.1	HmN_000253300.1	MCOS_0000426501-mRNA-1
OG0001438	EmuJ_000090700.1	HmN_002207000.1	MCOS_0000428701-mRNA-1
